pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2014-11-18
Kepler-216 b,Kepler-216,7.6935719644,,,,,6093.45,1.62969,1.14,Transit,2014,,2019-04-16
Kepler-216 b,Kepler-216,,2.765,,,,6119.0,1.589,,Transit,2014,,2018-09-04
Kepler-216 b,Kepler-216,7.69364042,2.23,,,,6142.0,1.2,1.11,Transit,2014,,2016-05-06
Kepler-216 b,Kepler-216,7.693491,1.96,,0.0,1008.0,6278.0,1.05,1.129,Transit,2014,0.079,2013-10-28
Kepler-216 b,Kepler-216,7.69362068,,,,,6093.45,1.62969,1.14,Transit,2014,,2016-07-26
Kepler-216 b,Kepler-216,7.69363627,,,,,6093.45,1.62969,1.14,Transit,2014,,2018-09-25
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2015-08-25
Kepler-216 b,Kepler-216,7.69364042,2.867,,,,6119.0,1.545,1.126,Transit,2014,0.0794,2024-12-05
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2015-08-25
Kepler-32 c,Kepler-32,8.752097,,1.29837,,,,0.574,0.509,Transit,2011,,2025-04-16
Kepler-32 c,Kepler-32,8.75209691,1.83,,0.0,451.0,3731.0,0.498,0.509,Transit,2011,0.0664,2017-05-08
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-21
Kepler-32 c,Kepler-32,,2.112,,,,3731.0,0.574,,Transit,2011,,2018-09-04
Kepler-32 c,Kepler-32,8.752,1.94,,,,3787.0,0.506,0.514,Transit,2011,,2016-03-02
Kepler-32 c,Kepler-32,8.752,2.02,7.7,,,,0.529,0.566,Transit,2011,,2014-05-28
Kepler-32 c,Kepler-32,,2.021,,,,3801.0,0.529,0.566,Transit,2011,,2016-02-10
Kepler-32 c,Kepler-32,8.752097,,1.05,,,,0.574,0.509,Transit,2011,,2025-04-16
Kepler-32 c,Kepler-32,8.75208025,1.98,,,,3791.0,0.574432,0.566709,Transit,2011,,2015-11-18
Kepler-32 c,Kepler-32,8.75210645,2.37,,,,3903.0,0.54,0.57,Transit,2011,,2016-05-06
Kepler-32 c,Kepler-32,8.75245953,2.08,,,449.0,3727.0,0.5,0.52,Transit,2011,0.06699,2016-02-24
Kepler-32 c,Kepler-32,8.752167,1.99,,0.0,497.0,4061.0,0.524,0.549,Transit,2011,0.068,2013-10-28
Kepler-32 c,Kepler-32,8.75209691,,,,,3791.0,0.574432,0.566709,Transit,2011,,2018-09-25
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-18
Kepler-32 c,Kepler-32,8.75208271,,,,,3791.0,0.574432,0.566709,Transit,2011,,2016-07-26
Kepler-32 c,Kepler-32,8.7522,2.0,158.9,,,3900.0,0.53,0.58,Transit,2011,0.09,2016-03-23
Kepler-32 c,Kepler-32,8.7522,2.0,,,470.0,3793.0,0.53,0.54,Transit,2011,0.067,2016-03-23
Kepler-259 c,Kepler-259,36.9249531,2.76,,,,5578.0,0.9,0.93,Transit,2014,,2016-05-06
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2014-11-18
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2014-11-21
Kepler-259 c,Kepler-259,36.9251496583,,,,,5613.0,0.886966,0.99,Transit,2014,,2019-04-16
Kepler-259 c,Kepler-259,36.924931,2.7,,,,5938.0,0.898,,Transit,2014,0.217,2014-05-14
Kepler-259 c,Kepler-259,36.9250409,,,,,5613.0,0.886966,0.99,Transit,2014,,2018-09-25
Kepler-259 c,Kepler-259,36.9250409,3.01,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2017-05-08
Kepler-259 c,Kepler-259,36.9249531,2.741,,,,5511.0,0.897,0.867,Transit,2014,0.20699,2024-12-05
Kepler-259 c,Kepler-259,36.92564,3.1,,0.0,535.0,5931.0,0.91,1.015,Transit,2014,0.218,2013-10-28
Kepler-259 c,Kepler-259,,3.12,,,,5511.0,0.919,,Transit,2014,,2018-09-04
Kepler-259 c,Kepler-259,36.92515874,,,,,5613.0,0.886966,0.99,Transit,2014,,2016-07-26
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2015-08-25
Kepler-148 c,Kepler-148,4.180043,3.6,,,,5272.0,0.851,,Transit,2014,0.05,2014-05-14
Kepler-148 c,Kepler-148,4.180049552,3.46,,,,5172.0,0.81,0.86,Transit,2014,,2016-05-06
Kepler-148 c,Kepler-148,,3.339,,,,5225.0,0.815,,Transit,2014,,2018-09-04
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2014-11-21
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2015-08-25
Kepler-148 c,Kepler-148,4.1800659,3.1,,0.0,929.0,5187.0,0.78,0.777,Transit,2014,0.047,2013-10-28
Kepler-148 c,Kepler-148,4.1801057008,,,,,5019.0,0.850564,0.83,Transit,2014,,2019-04-16
Kepler-148 c,Kepler-148,4.180048081,3.44,,0.0,957.0,5227.0,0.838,0.876,Transit,2014,0.0487,2017-05-08
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2014-11-18
Kepler-148 c,Kepler-148,4.180048081,,,,,5019.0,0.850564,0.83,Transit,2014,,2018-09-25
Kepler-148 c,Kepler-148,4.18004979,,,,,5019.0,0.850564,0.83,Transit,2014,,2016-07-26
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2014-11-21
Kepler-222 d,Kepler-222,28.08185982,,,,,5154.0,0.850048,0.87,Transit,2014,,2018-09-25
Kepler-222 d,Kepler-222,28.0819359545,,,,,5154.0,0.850048,0.87,Transit,2014,,2019-04-16
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2015-08-25
Kepler-222 d,Kepler-222,28.081912,3.69,,,,5433.0,0.869,,Transit,2014,0.18,2014-05-14
Kepler-222 d,Kepler-222,28.08209,3.3,,0.0,494.0,5342.0,0.76,0.857,Transit,2014,0.172,2013-10-28
Kepler-222 d,Kepler-222,28.08196251,,,,,5154.0,0.850048,0.87,Transit,2014,,2016-07-26
Kepler-222 d,Kepler-222,,3.513,,,,5315.0,0.816,,Transit,2014,,2018-09-04
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2014-11-18
Kepler-222 d,Kepler-222,28.08194365,3.74,,,,5295.0,0.84,0.88,Transit,2014,,2016-05-06
Kepler-222 d,Kepler-222,28.08194365,3.563,,,,5315.0,0.801,0.933,Transit,2014,0.17673,2024-12-05
Kepler-222 d,Kepler-222,28.08185982,3.63,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2017-05-08
Kepler-29 c,Kepler-29,13.2884,3.14,4.0,,,5701.0,0.932,0.979,Transit,2011,,2020-05-04
Kepler-29 c,Kepler-29,13.28689074,1023.268,,,,5378.0,0.732,0.761,Transit,2011,0.10027,2024-12-05
Kepler-29 c,Kepler-29,13.28689997,,,,,5358.15,0.824495,0.93,Transit,2011,,2018-09-25
Kepler-29 c,Kepler-29,13.28992,3.5,,0.0,759.0,5966.0,0.92,1.028,Transit,2011,0.111,2013-10-28
Kepler-29 c,Kepler-29,13.28689997,2.78,,0.0,715.0,5730.0,0.87,0.968,Transit,2011,0.1087,2017-05-08
Kepler-29 c,Kepler-29,,2.39,,,,5378.0,0.748,,Transit,2011,,2020-05-04
Kepler-29 c,Kepler-29,13.28689074,,,,,5358.15,0.824495,0.93,Transit,2011,,2020-05-04
Kepler-29 c,Kepler-29,13.28706214,,,,,5358.15,0.824495,0.93,Transit,2011,,2020-05-04
Kepler-29 c,Kepler-29,13.2907,2.9,95.3,,,5750.0,0.96,1.0,Transit,2011,0.11,2020-05-04
Kepler-29 c,Kepler-29,13.28689074,1226.4,,0.0,714.0,5716.0,0.872,0.97,Transit,2011,0.1088,2014-11-21
Kepler-29 c,Kepler-29,13.28689074,1226.4,,0.0,714.0,5716.0,0.872,0.97,Transit,2011,0.1088,2015-08-25
Kepler-29 c,Kepler-29,13.28689074,1226.4,,0.0,714.0,5716.0,0.872,0.97,Transit,2011,0.1088,2014-11-18
Kepler-29 c,Kepler-29,13.28613,2.34,4.5,0.0,,5378.0,0.732,0.761,Transit,2011,,2020-05-04
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2015-08-25
Kepler-179 b,Kepler-179,2.735900074,1.56,,0.0,1075.0,5299.0,0.766,0.856,Transit,2014,0.0362,2017-05-08
Kepler-179 b,Kepler-179,2.735903375,1.708,,,,5257.0,0.821,0.893,Transit,2014,0.03688,2024-12-05
Kepler-179 b,Kepler-179,2.7359103947,,,,,5218.43,0.888685,0.89,Transit,2014,,2019-04-16
Kepler-179 b,Kepler-179,2.73589728,,,,,5218.43,0.888685,0.89,Transit,2014,,2016-07-26
Kepler-179 b,Kepler-179,2.735900074,,,,,5218.43,0.888685,0.89,Transit,2014,,2018-09-25
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2014-11-18
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2014-11-21
Kepler-179 b,Kepler-179,,1.694,,,,5257.0,0.83,,Transit,2014,,2018-09-04
Kepler-179 b,Kepler-179,2.735903375,1.8,,,,5475.0,0.87,0.91,Transit,2014,,2016-05-06
Kepler-179 b,Kepler-179,2.735926,1.64,,,,5302.0,0.759,,Transit,2014,0.036,2014-05-14
Kepler-179 b,Kepler-179,2.73589,1.7,,0.0,1056.0,5289.0,0.738,0.842,Transit,2014,0.036,2013-10-28
Kepler-165 c,Kepler-165,15.31299,2.23,,,,5211.0,0.77,,Transit,2014,0.11,2014-05-14
Kepler-165 c,Kepler-165,15.31296388,2.34,,0.0,581.0,5081.0,0.77,0.864,Transit,2014,0.1145,2017-05-08
Kepler-165 c,Kepler-165,,2.277,,,,5100.0,0.748,,Transit,2014,,2018-09-04
Kepler-165 c,Kepler-165,15.31297659,2.25,,,,5108.0,0.76,0.8,Transit,2014,,2016-05-06
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2015-08-25
Kepler-165 c,Kepler-165,15.3128980768,,,,,5155.0,0.727855,0.87,Transit,2014,,2019-04-16
Kepler-165 c,Kepler-165,15.312909,,,,,5155.0,0.727855,0.87,Transit,2014,,2016-07-26
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2014-11-21
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2014-11-18
Kepler-165 c,Kepler-165,15.31307,2.49,,0.0,613.0,5236.0,0.79,0.79,Transit,2014,0.112,2013-10-28
Kepler-165 c,Kepler-165,15.31296388,,,,,5155.0,0.727855,0.87,Transit,2014,,2018-09-25
Kepler-165 c,Kepler-165,15.31297659,2.186,,,,5100.0,0.738,0.746,Transit,2014,0.1095,2024-12-05
Kepler-228 c,Kepler-228,4.13442899,,,,,5675.0,1.1757,1.01,Transit,2014,,2016-07-26
Kepler-228 c,Kepler-228,4.13443005,2.84,,,,5630.0,0.92,0.95,Transit,2014,,2016-05-06
Kepler-228 c,Kepler-228,4.13443005,3.423,,,,5660.0,1.104,1.006,Transit,2014,0.05053,2024-12-05
Kepler-228 c,Kepler-228,4.1344785877,,,,,5675.0,1.1757,1.01,Transit,2014,,2019-04-16
Kepler-228 c,Kepler-228,,3.268,,,,5660.0,1.145,,Transit,2014,,2018-09-04
Kepler-228 c,Kepler-228,4.134444,2.7,,,,6043.0,1.014,,Transit,2014,0.052,2014-05-14
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2014-11-21
Kepler-228 c,Kepler-228,4.13443512,2.77,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2017-05-08
Kepler-228 c,Kepler-228,4.134403,2.8,,0.0,1138.0,6014.0,0.94,1.04,Transit,2014,0.051,2013-10-28
Kepler-228 c,Kepler-228,4.13443512,,,,,5675.0,1.1757,1.01,Transit,2014,,2018-09-25
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2014-11-18
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2015-08-25
