pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2014-11-21,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,7.693641,2.35,,,797.0,6091.0,1.26,,Transit,2014,0.079,2014-05-14,14057723965959.584,,,315.4539834997013
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2014-11-18,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,,2.765,,,797.0,6119.0,1.589,,Transit,2014,,2018-09-04,22897962061328.35,,,
Kepler-216 b,Kepler-216,7.69364042,2.23,,,797.0,6142.0,1.2,1.11,Transit,2014,,2016-05-06,12012295679224.412,,,
Kepler-216 b,Kepler-216,7.693491,1.96,,0.0,1008.0,6278.0,1.05,1.129,Transit,2014,0.079,2013-10-28,8156045475839.108,,,247.2318230704179
Kepler-216 b,Kepler-216,7.69364042,1.91,,0.0,1003.0,6277.0,1.031,1.085,Transit,2014,0.0785,2015-08-25,7547646062888.936,,,241.25773265280222
Kepler-216 b,Kepler-216,7.69364042,2.867,,,797.0,6119.0,1.545,1.126,Transit,2014,0.0794,2024-12-05,25526689948139.777,,,478.2252311711087
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2015-08-25,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,8.75209691,1.83,,0.0,451.0,3731.0,0.498,0.509,Transit,2011,0.0664,2017-05-08,6638419508199.283,,,9.82015252569692
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-21,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,,2.112,,,797.0,3731.0,0.574,,Transit,2011,,2018-09-04,10204533744123.473,,,
Kepler-32 c,Kepler-32,8.752,1.94,,,797.0,3787.0,0.506,0.514,Transit,2011,,2016-03-02,7908909651346.915,,,
Kepler-32 c,Kepler-32,8.752,2.02,7.7,,797.0,,0.529,0.566,Transit,2011,,2014-05-28,8928233357064.775,4.5969000000000004e+25,5148722951290.8545,
Kepler-32 c,Kepler-32,,2.021,,,797.0,3801.0,0.529,0.566,Transit,2011,,2016-02-10,8941499674892.387,,,
Kepler-32 c,Kepler-32,8.75208025,1.98,,,797.0,3791.0,0.574432,0.566709,Transit,2011,,2015-11-18,8408276705668.143,,,
Kepler-32 c,Kepler-32,8.75210645,2.37,,,797.0,3903.0,0.54,0.57,Transit,2011,,2016-05-06,14419707887017.266,,,
Kepler-32 c,Kepler-32,8.75245953,2.08,,,449.0,3727.0,0.5,0.52,Transit,2011,0.06699,2016-02-24,9747683722486.254,,,9.68394545086152
Kepler-32 c,Kepler-32,8.752167,1.99,,0.0,497.0,4061.0,0.524,0.549,Transit,2011,0.068,2013-10-28,8536319345687.728,,,14.55028221224545
Kepler-32 c,Kepler-32,8.75210645,2.2,,0.0,449.0,3727.0,0.5,0.52,Transit,2011,0.0669,2014-11-18,11533987250573.586,,,9.71001843556694
Kepler-32 c,Kepler-32,8.7522,2.0,158.9,,797.0,3900.0,0.53,0.58,Transit,2011,0.09,2016-03-23,8665655334766.028,9.48633e+26,109470428184946.16,7.228028540520727
Kepler-32 c,Kepler-32,8.7522,2.0,,,470.0,3793.0,0.53,0.54,Transit,2011,0.067,2016-03-23,8665655334766.028,,,11.66885423954539
Kepler-259 c,Kepler-259,36.9249531,2.76,,,797.0,5578.0,0.9,0.93,Transit,2014,,2016-05-06,22773966146949.223,,,
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2014-11-18,21558537577798.695,,,18.823223094313473
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2014-11-21,21558537577798.695,,,18.823223094313473
Kepler-259 c,Kepler-259,36.924931,2.7,,,797.0,5938.0,0.898,,Transit,2014,0.217,2014-05-14,21320761744274.973,,,19.1817704299988
Kepler-259 c,Kepler-259,36.9250409,3.01,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2017-05-08,29540028591815.773,,,18.823223094313473
Kepler-259 c,Kepler-259,36.9249531,2.741,,,797.0,5511.0,0.897,0.867,Transit,2014,0.20699,2024-12-05,22306864599807.426,,,15.606392004882231
Kepler-259 c,Kepler-259,36.92564,3.1,,0.0,535.0,5931.0,0.91,1.015,Transit,2014,0.218,2013-10-28,32269817259751.855,,,19.425678817898202
Kepler-259 c,Kepler-259,,3.12,,,797.0,5511.0,0.919,,Transit,2014,,2018-09-04,32898432563391.11,,,
Kepler-259 c,Kepler-259,36.9249531,2.71,,0.0,530.0,5926.0,0.887,0.978,Transit,2014,0.2155,2015-08-25,21558537577798.695,,,18.823223094313473
Kepler-148 c,Kepler-148,4.180043,3.6,,,797.0,5272.0,0.851,,Transit,2014,0.05,2014-05-14,50538101912355.49,,,201.6115591172792
Kepler-148 c,Kepler-148,4.180049552,3.46,,,797.0,5172.0,0.81,0.86,Transit,2014,,2016-05-06,44868310942958.76,,,
Kepler-148 c,Kepler-148,,3.339,,,797.0,5225.0,0.815,,Transit,2014,,2018-09-04,40323728475830.8,,,
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2014-11-21,48461458851897.56,,,203.40548149521933
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2015-08-25,48461458851897.56,,,203.40548149521933
Kepler-148 c,Kepler-148,4.1800659,3.1,,0.0,929.0,5187.0,0.78,0.777,Transit,2014,0.047,2013-10-28,32269817259751.855,,,179.61937951005214
Kepler-148 c,Kepler-148,4.180048081,3.44,,0.0,957.0,5227.0,0.838,0.876,Transit,2014,0.0487,2017-05-08,44094736556879.516,,,199.12914340295444
Kepler-148 c,Kepler-148,4.180049552,3.55,,0.0,962.0,5271.0,0.838,0.893,Transit,2014,0.049,2014-11-18,48461458851897.56,,,203.40548149521933
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2014-11-21,57122239755537.79,,,17.639822677758108
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2015-08-25,57122239755537.79,,,17.639822677758108
Kepler-222 d,Kepler-222,28.081912,3.69,,,797.0,5433.0,0.869,,Transit,2014,0.18,2014-05-14,54424008154710.17,,,18.295659673065646
Kepler-222 d,Kepler-222,28.08209,3.3,,0.0,494.0,5342.0,0.76,0.857,Transit,2014,0.172,2013-10-28,38927206970685.84,,,14.324535095938119
Kepler-222 d,Kepler-222,,3.513,,,797.0,5315.0,0.816,,Transit,2014,,2018-09-04,46961923194764.29,,,
Kepler-222 d,Kepler-222,28.08194365,3.75,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2014-11-18,57122239755537.79,,,17.639822677758108
